d,w,e3/e2
0.7,0.4,0.656045468772464
0.7,0.6,0.60353014298711
0.7,0.8,0.556582514129707
0.7,1,0.515717757097006
0.7,1.2,0.481534909617572
0.8,0.4,0.653324764941529
0.8,0.6,0.602181733002551
0.8,0.8,0.554701362828799
0.8,1,0.513722969242429
0.8,1.2,0.4796874645793
0.9,0.4,0.651585935400681
0.9,0.6,0.599142996035591
0.9,0.8,0.552628340125412
0.9,1,0.511466940667724
0.9,1.2,0.477737165033667
1,0.4,0.648793635392852
1,0.6,0.596619150300056
1,0.8,0.549707673806136
1,1,0.508943693148748
1,1.2,0.475425678207108
1.1,0.4,0.645343357127088
1.1,0.6,0.593705333775575
1.1,0.8,0.547140878043954
1.1,1,0.506509394199121
1.1,1.2,0.473149023572284
1.2,0.4,0.642589466812311
1.2,0.6,0.590918734994765
1.2,0.8,0.543462898496945
1.2,1,0.50343367812962
1.2,1.2,0.470243657737679
